id,title,ingredients,directions,link,source,NER,occasion,flavour_profile
1,Quick And Easy Ice Cream Pie,"[""1 9-inch Oreo cookie pie crust"", ""1/2 gallon ice cream (I like cookies 'n cream the best)"", ""squeezable chocolate syrup"", ""squeezable caramel ice cream topping (smuckers makes good ones)"", ""crushed Heath candy bars (for topping) or crushed Skor candy bar (for topping)""]","[""let ice cream soften slightly ."", ""spread evenly in pie crust."", ""squeeze chocolate syrup over pie in a criss-cross motion ."", ""do the same with the caramel syrup in oppostie direction ."", ""sprinkle top of pie with the crushed candy topping ."", ""freeze until ready to serve ."", ""any combination of ice cream and toppings works wonderfully, this just happens to be my favorite combination !""]",www.food.com/recipe/quick-and-easy-ice-cream-pie-12350,Gathered,"[""cookie pie crust"", ""gallon ice cream"", ""chocolate syrup"", ""caramel ice cream""]",Everyday,Chocolate
10,Apple Crisp,"[""2 c. sliced apples (or a few more to fit the pan)"", ""1/2 tsp. cinnamon"", ""1/2 c. water"", ""7/8 to 1 c. sugar"", ""1/2 c. shortening"", ""3/4 c. flour"", ""1 tsp. salt""]","[""In a greased baking dish, place apple slices."", ""Add cinnamon, water and 1/2 cup sugar."", ""Mix rest of sugar with flour and shortening until crumbly."", ""Sprinkle over apples."", ""Bake in a moderate 375\u00b0 oven about 1 hour or until apples are tender and crumbs well browned."", ""Serve warm."", ""Serves 6."", ""(Serve hot with cream, hard sauce or ice cream.)""]",www.cookbooks.com/Recipe-Details.aspx?id=326645,Gathered,"[""apples"", ""cinnamon"", ""water"", ""sugar"", ""shortening"", ""flour"", ""salt""]",Everyday,Spiced
21,Japanese Fruit Cake,"[""3 eggs beaten"", ""2 cups sugar"", ""1/2 lb. butter, soften"", ""1 cup milk"", ""3 cups self rising flour"", ""1/2 box raisins"", ""2 tsp. cinnamon"", ""1 1/2 tsp. cloves"", ""1 cup nuts chopped""]","[""Beat eggs and sugar together, add butter, beat until creamy. Add milk and flour alternately."", ""Mix well."", ""Divide batter into halves."", ""Leave one half plain."", ""To other half add raisins, cinnamon, cloves, and nuts."", ""Mix well."", ""Makes 4 8 inch layers. Makes"", ""2 light layers and 2 dark layers."", ""Bake at 350\u00b0 until toothpick inserted in center comes out clean."", ""Turn out on wire rack to cool.""]",www.cookbooks.com/Recipe-Details.aspx?id=75491,Gathered,"[""eggs"", ""sugar"", ""butter"", ""milk"", ""flour"", ""raisins"", ""cinnamon"", ""cloves"", ""nuts""]",Everyday,Spiced
25,Blueberry Cake,"[""1 c. sugar"", ""1 c. flour"", ""2 Tbsp. cooking oil"", ""1 tsp. baking powder"", ""1/2 c. milk"", ""1 tsp. vanilla"", ""1 egg"", ""2 c. blueberries, mixed with 1 additional c. flour""]","[""Mix sugar, 1 cup flour, oil, baking powder, milk, vanilla and egg; set aside."", ""Add another cup flour to the blueberries (this will prevent berries from falling to bottom of cake)."", ""Add blueberry mixture to other ingredients; blend well."", ""Grease and flour an 8 x 8-inch pan."", ""Bake for 35 to 40 minutes in a 350\u00b0 oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=243755,Gathered,"[""sugar"", ""flour"", ""cooking oil"", ""baking powder"", ""milk"", ""vanilla"", ""egg"", ""blueberries""]",Everyday,Vanilla/Cream
28,Strawberry Pie,"[""1 c. sugar"", ""1 c. water"", ""3 Tbsp. strawberry Jell-O"", ""3 Tbsp. cornstarch""]","[""Broil until thick."", ""Let cool."", ""Add 1 quart strawberries."", ""Pour into baked pie shell.""]",www.cookbooks.com/Recipe-Details.aspx?id=247433,Gathered,"[""sugar"", ""water"", ""strawberry"", ""cornstarch""]",Everyday,Fruity/Berry
29,Mississippi Mud Pie,"[""Crust:"", ""4.5 ounces all-purpose flour (about 1 cup)"", ""2 tablespoons sugar"", ""2 tablespoons unsweetened cocoa"", ""1/4 teaspoon salt"", ""2 1/2 tablespoons vegetable shortening"", ""2 tablespoons chilled butter, cut into small pieces"", ""1/4 cup ice water"", ""Cooking spray"", ""Filling:"", ""3 tablespoons butter"", ""1 ounce semisweet chocolate chips"", ""1 teaspoon vanilla extract"", ""4 large egg whites"", ""1 cup sugar"", ""3.4 ounces all-purpose flour (about 3/4 cup)"", ""1/3 cup Dutch process cocoa"", ""1/2 teaspoon baking powder"", ""Dash of salt""]","[""To prepare crust, weigh or lightly spoon 5 ounces (about 1 cup) flour into a dry measuring cup; level with a knife. Combine 5 ounces flour, 2 tablespoons sugar, 2 tablespoons unsweetened cocoa, and 1/4 teaspoon salt in a food processor; pulse 2 times or until blended. Add shortening and chilled butter; pulse 6 times or until mixture resembles coarse meal. With processor on, slowly pour ice water through food chute, processing just until blended (do not allow dough to form a ball); remove from bowl. Gently press mixture into a 4-inch circle; wrap in plastic wrap. Chill 30 minutes."", ""Preheat oven to 350\u00b0."", ""Unwrap and place chilled dough on plastic wrap. Lightly sprinkle dough with flour; roll to a 10-inch circle. Fit dough, plastic wrap side up, into a 9-inch pie plate coated with cooking spray. Remove remaining plastic wrap. Fold edges under, and flute."", ""To prepare filling, place 3 tablespoons butter and chocolate in a microwave-safe bowl. Microwave at HIGH 30 seconds or until butter and chocolate melt, stirring well to combine. Place vanilla and egg whites in a bowl; beat with a mixer at medium speed until foamy. Gradually add 1 cup sugar; beat until soft peaks form (about 2 minutes). Gently fold melted chocolate mixture into egg white mixture."", ""Weigh or lightly spoon 4 ounces flour and 1/3 cup Dutch process cocoa into dry measuring cups; level with a knife. Combine flour, cocoa, baking powder, and dash of salt in a small bowl, stirring with a whisk. Fold flour mixture into egg white mixture. Pour mixture into prepared crust. Bake at 350\u00b0 for 40 minutes or until a wooden pick inserted in center comes out clean. Cool on a wire rack.""]",www.myrecipes.com/recipe/mississippi-mud-pie,Gathered,"[""Crust"", ""flour"", ""sugar"", ""unsweetened cocoa"", ""salt"", ""vegetable shortening"", ""butter"", ""water"", ""Cooking spray"", ""Filling"", ""butter"", ""chocolate chips"", ""vanilla"", ""egg whites"", ""sugar"", ""Dutch"", ""baking powder"", ""salt""]",Everyday,Chocolate
31,Delicate Sugar Cookies,"[""1 cup granulated sugar"", ""1 cup powdered sugar"", ""1 cup butter, softened"", ""2 eggs, beaten"", ""1 teaspoon vanilla extract"", ""1 cup mazola corn oil"", ""4 cups flour"", ""1 teaspoon baking soda"", ""1 teaspoon cream of tartar"", ""gourmet sanding sugar""]","[""Sift together flour, baking soda and baking powder."", ""In large mixing bowl combine sugars, butter, eggs, vanilla and oil."", ""Beat until very light and fluffy; at least 5 - 10 minutes on high speed."", ""Stir in dry ingredients until well blended."", ""Chill for about 1 hour."", ""Roll into 1 inches balls and flatten slightly with glass dipped in sanding sugar."", ""Bake at 350 degrees for 12 - 15 minutes."", ""Cool on rack and store in tins.""]",www.food.com/recipe/delicate-sugar-cookies-422077,Gathered,"[""sugar"", ""powdered sugar"", ""butter"", ""eggs"", ""vanilla"", ""corn oil"", ""flour"", ""baking soda"", ""cream of tartar"", ""gourmet sanding sugar""]",Everyday,Vanilla/Cream
33,Peanut Butter Pie,"[""1/4 c. smooth peanut butter"", ""4 oz. pkg. cream cheese"", ""1 c. powdered sugar"", ""1 tsp. vanilla"", ""1 (9 oz.) Cool Whip""]","[""Blend first 4 ingredients together."", ""Add Cool Whip."", ""Pour into baked pie shell."", ""Refrigerate."", ""Needs to set 2 hours before serving."", ""Also, can use graham cracker crumbs and sprinkle with chocolate chips.""]",www.cookbooks.com/Recipe-Details.aspx?id=983137,Gathered,"[""smooth peanut butter"", ""cream cheese"", ""powdered sugar"", ""vanilla""]",Everyday,Vanilla/Cream
34,Custard Pie,"[""3 eggs"", ""1/2 c. sugar"", ""2 c. milk"", ""1 tsp. vanilla"", ""1 unbaked pie shell""]","[""Beat eggs well; add sugar, milk and vanilla."", ""Pour into pie shell."", ""Bake at 350\u00b0"", ""for 40 to 45 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=203035,Gathered,"[""eggs"", ""sugar"", ""milk"", ""vanilla"", ""shell""]",Everyday,Vanilla/Cream
36,Mile High Strawberry Pie,"[""1 (10 oz.) pkg. frozen strawberries (at room temperature)"", ""2 egg whites at room temperature"", ""3/4 c. sugar"", ""1 Tbsp. lemon juice"", ""pinch of salt"", ""1/2 c. heavy cream"", ""1 tsp. vanilla"", ""1 (10-inch) baked pie shell""]","[""Put first 5 ingredients into large bowl."", ""Beat at high speed for a full 15 minutes."", ""The mixture should come to the top of the bowl."", ""Beat cream and vanilla, fold into mixture."", ""Put in baked pie shell."", ""Put in the freezer until ready to serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=579634,Gathered,"[""frozen strawberries"", ""egg whites"", ""sugar"", ""lemon juice"", ""salt"", ""heavy cream"", ""vanilla"", ""shell""]",Everyday,Vanilla/Cream
